engine_id,cylinder,n_cylinders,mV_0,mV_1,mV_2,mV_3,mV_4,mV_5,mV_6,mV_7,mV_8,mV_9,mV_10,mV_11,mV_12,mV_13,mV_14,mV_15,mV_16,mV_17,mV_18,mV_19,mV_20
train_0015,10,12,39.342,38.075,,20.534,31.689,39.334,44.585,47.811,50.578,50.798,51.108,48.757,44.976,40.842,,38.473,32.844,27.941,10.895,20.568,22.914
train_0015,11,12,36.658,36.268,36.452,25.665,35.853,41.54,46.828,50.526,53.548,55.015,55.313,53.4,50.069,46.355,43.747,40.537,34.621,,17.346,20.671,27.313
train_0015,12,12,40.03,40.36,40.111,26.99,38.09,44.74,50.056,54.074,57.785,59.554,60.427,59.426,56.907,52.74,47.923,,36.54,30.722,18.672,21.915,29.484
train_0016,1,8,32.906,26.109,26.38,35.208,44.938,52.306,57.463,60.897,62.351,63.019,59.613,52.219,44.384,38.069,33.392,30.031,28.677,31.196,35.616,40.097,39.38
train_0016,2,8,31.501,24.93,28.661,39.118,49.119,56.172,60.563,62.614,63.595,,59.496,51.273,43.124,36.734,32.149,29.437,29.751,33.017,37.953,40.606,38.769
train_0016,3,8,28.506,23.163,21.684,30.188,40.162,47.521,53.287,57.901,59.429,59.241,55.499,48.533,41.168,34.489,28.834,25.029,24.816,28.755,33.87,37.596,36.791
train_0016,4,8,31.416,24.793,23.235,30.494,39.382,47.105,,,57.722,57.581,54.365,47.823,40.624,34.52,30.017,26.854,25.982,,33.625,37.299,36.064
train_0016,5,8,32.584,26.91,23.69,31.861,41.638,47.239,48.475,52.532,51.69,48.853,46.377,39.87,,26.156,20.808,20.994,23.632,25.671,29.515,31.331,28.607
train_0016,6,8,29.6,23.983,28.572,38.586,47.978,55.246,61.033,64.76,65.812,65.298,59.225,51.118,43.394,37.69,33.425,,29.454,32.557,37.42,40.27,39.807
train_0016,7,8,30.668,24.975,28.249,36.721,44.999,51.482,56.356,59.194,60.023,60.125,55.329,47.897,40.221,34.533,31.077,28.779,28.641,31.552,35.784,38.77,38.101
train_0016,8,8,34.05,27.524,25.014,33.873,44.511,52.485,58.636,63.577,65.356,65.28,62.411,55.192,47.224,40.622,35.769,,30.904,33.18,37.187,41.089,39.635
train_0017,1,8,41.586,38.434,30.591,29.03,38.474,48.36,55.895,61.597,63.959,63.914,61.476,53.843,44.919,37.865,33.379,30.75,31.712,34.919,38.665,37.186,36.106
train_0017,2,8,46.08,55.241,54.557,,51.459,44.343,39.831,38.109,36.653,35.122,31.967,27.006,22.387,19.449,18.34,17.642,19.026,21.123,22.597,22.419,21.705
train_0017,3,8,39.867,35.33,25.627,23.388,33.662,41.046,41.543,46.02,44.279,39.895,37.83,31.272,25.755,18.932,14.707,18.177,24.831,27.443,28.963,25.032,22.299
train_0017,4,8,35.319,33.306,25.127,22.132,,,47.357,52.06,53.872,53.428,50.942,43.837,36.171,30.094,26.101,24.047,25.257,28.305,31.615,30.673,31.207
train_0017,5,8,33.29,32.812,25.659,22.091,30.408,40.063,46.914,51.893,54.198,54.094,51.382,,35.79,29.51,25.202,22.988,24.737,28.595,31.696,31.426,32.237
train_0017,6,8,32.736,26.556,20.647,25.252,34.947,43.032,,52.859,53.315,53.013,,41.473,34.032,28.73,25.315,23.54,24.976,,,29.817,30.174
train_0017,7,8,36.528,36.887,29.164,,31.786,41.004,48.001,53.299,56.212,57.181,55.622,48.103,,,27.973,25.347,26.391,29.821,33.344,32.311,32.296
train_0017,8,8,37.669,32.599,,28.184,37.152,45.283,51.31,54.929,55.53,55.828,52.732,45.923,37.834,,27.36,26.361,28.88,32.832,35.347,34.632,34.943
train_0018,1,12,37.201,28.573,,42.196,47.283,51.234,54.75,57.772,60.732,61.77,60.795,59.632,57.064,53.089,46.284,36.019,30.19,32.938,37.669,40.598,40.712
train_0018,2,12,34.506,29.058,26.83,42.072,47.554,51.156,54.343,56.91,59.44,60.803,60.297,59.073,56.047,51.718,,36.604,30.852,32.681,36.52,39.726,40.468
train_0018,3,12,38.365,32.246,29.793,,50.574,53.449,55.696,58.131,61.302,63.275,63.076,61.568,57.927,53.067,46.086,36.456,32.822,35.216,39.069,40.573,41.199
train_0018,4,12,38.382,34.229,28.45,43.344,49.309,53.18,56.78,59.753,62.063,63.07,62.586,,56.78,52.272,46.19,37.011,33.31,36.338,40.99,42.171,41.698
train_0018,5,12,35.255,25.88,,18.423,32.687,41.751,45.674,45.04,43.337,39.896,38.605,36.741,32.998,27.514,24.689,20.745,,33.169,42.74,36.677,29.892
train_0018,6,12,35.889,29.297,27.591,42.906,48.886,52.811,55.666,58.412,61.48,62.571,61.766,60.008,56.446,51.776,44.551,34.652,32.711,35.868,40.244,40.599,39.905
train_0018,7,12,37.664,32.159,26.721,41.103,46.776,50.81,53.788,56.281,59.145,,60.453,58.958,55.043,49.361,41.169,31.505,32.044,35.481,39.868,39.806,38.754
train_0018,8,12,37.657,33.833,25.434,39.785,46.361,50.754,55.149,58.508,61.077,62.64,62.635,60.953,56.483,50.971,43.513,33.28,31.083,34.533,39.49,40.417,40.662
train_0018,9,12,35.859,31.915,24.155,39.757,47.496,51.715,54.7,57.752,61.022,62.154,61.536,60.224,56.549,51.061,42.822,32.038,29.897,32.871,38.076,38.812,38.36
train_0018,10,12,34.466,24.857,21.283,46.015,51.417,54.682,57.507,58.48,56.284,46.356,53.447,60.899,62.165,59.112,53.539,45.253,44.222,44.83,45.498,45.434,44.835
train_0018,11,12,39.465,30.892,31.14,46.039,52.085,56.446,59.326,61.393,63.802,64.992,64.823,62.982,58.502,52.381,43.816,,32.993,36.982,42.035,,
train_0018,12,12,34.902,26.809,33.07,45.879,50.988,,57.679,59.775,61.742,62.231,61.618,59.564,55.952,51.232,43.453,32.86,32.009,35.352,39.827,39.88,39.448
train_0019,1,8,34.795,,20.944,32.081,44.579,53.216,58.397,59.954,54.537,39.019,,46.566,44.429,40.428,38.64,41.901,46.127,48.606,45.271,42.97,42.674
train_0019,2,8,35.243,29.501,,32.965,43.269,51.25,57.024,59.883,60.535,58.277,50.109,41.022,33.944,28.897,26.008,27.838,32.225,35.78,35.484,35.847,35.927
train_0019,3,8,39.835,31.735,27.407,35.814,,54.138,,63.014,63.049,60.478,52.624,44.132,37.367,32.974,30.584,32.042,36.079,,39.717,39.222,38.18
train_0019,4,8,44.493,35.136,28.639,36.029,47.136,56.345,63.296,67.141,67.594,,58.272,48.491,40.212,34.609,31.543,32.302,35.969,,41.129,40.979,41.379
train_0019,5,8,34.033,29.612,24.008,,,46.83,53.406,57.923,58.625,57.801,51.537,42.905,35.036,29.584,26.277,26.158,29.411,33.856,35.063,34.356,33.775
train_0019,6,8,37.17,31.47,24.623,28.7,38.393,46.488,52.784,,58.789,58.854,52.309,43.166,35.173,29.888,27.119,27.342,30.322,34.459,34.546,,33.201
train_0019,7,8,38.236,30.249,29.393,39.816,50.139,57.57,62.942,65.144,65.268,62.624,54.24,44.489,,31.907,29.989,31.9,35.923,,40.221,39.097,38.235
train_0019,8,8,37.546,30.875,29.307,31.878,41.77,49.291,50.269,54.33,52.529,47.74,40.81,32.131,25.706,,16.84,,,32.249,32.235,30.479,29.511
train_0020,1,12,39.835,36.376,27.374,32.77,,50.772,57.616,,62.939,64.355,62.695,61.647,58.375,53.697,49.383,41.529,,23.493,15.328,25.042,25.252
train_0020,2,12,38.368,34.801,25.864,33.528,42.689,50.849,57.168,60.816,63.345,64.576,62.56,61.533,58.689,53.886,50.098,43.039,37.17,27.492,13.087,23.579,23.833
train_0020,3,12,,32.662,24.692,33.434,41.971,49.855,54.669,56.578,58.17,59.091,58.487,57.805,54.004,49.362,43.266,36.448,28.183,14.046,18.635,23.224,23.41
train_0020,4,12,40.874,,30.41,39.61,47.523,55.251,,63.274,,65.632,64.736,64.175,60.238,54.925,49.023,42.28,35.553,22.716,19.649,27.236,26.57
train_0020,5,12,37.498,34.309,33.076,45.01,46.585,52.155,,60.925,59.307,48.983,55.452,63.871,65.04,62.665,60.16,,48.143,34.755,29.649,36.221,35.83
train_0020,6,12,42.7,37.725,27.803,35.741,44.703,53.272,59.704,63.061,64.844,65.035,63.206,63.008,60.065,55.154,49.177,41.614,33.728,19.546,19.5,27.061,27.842
train_0020,7,12,42.851,37.652,28.833,,46.684,55.191,,65.492,67.84,67.957,65.829,64.716,,56.445,50.284,42.71,34.466,19.542,20.093,27.744,28.172
train_0020,8,12,39.016,35.556,27.158,34.507,42.196,50.17,,59.14,61.267,61.563,59.551,57.362,52.538,48.327,43.939,38.094,30.594,17.333,20.66,25.098,24.576
train_0020,9,12,38.36,35.004,33.238,44.369,45.583,50.937,55.653,58.643,57.331,47.191,54.085,63.91,66.18,63.585,60.239,54.296,48.041,,30.919,37.083,34.76
train_0020,10,12,,34.352,,35.812,43.854,,58.023,61.645,64.254,64.697,62.414,61.407,58.081,53.056,48.1,40.975,34.374,23.141,15.673,25.632,26.497
train_0020,11,12,42.749,35.239,29.897,39.949,49.671,58.464,63.577,66.108,68.024,68.027,66.174,64.114,59.344,54.453,48.491,41.733,34.059,19.433,,27.322,
train_0020,12,12,44.27,39.704,30.812,39.964,48.737,57.272,63.564,66.771,68.93,69.954,68.07,66.658,62.467,57.265,52.316,45.557,38.65,25.003,20.736,28.964,28.194
